release_date,title,main_director,soup
1990-12-23,Green Card,peterweir,immigr greenhous love greencard gérarddepardieu andiemacdowell bebeneuwirth peterweir comedy drama romance
1993-11-24,Mrs. Doubtfire,chriscolumbus,sanfrancisco parentchildrelationship restaur nanni mask custodybattl fakeident robinwilliams sallyfield piercebrosnan chriscolumbus comedy drama family
2016-08-01,Night Guards,emilisvelyvis,vampir moscow secretpoliceunit ivanyankovskiy lyubovaksyonova leonidyarmolnik emilisvelyvis action fantasy thriller
2000-04-27,The Yards,jamesgray,corrupt subway infiltr crimin markwahlberg joaquinphoenix charlizetheron jamesgray drama action thriller crime
1978-10-06,Death on the Nile,johnguillermin,egypt herculepoirot shipboard murdermysteri peterustinov miafarrow simonmaccorkindale johnguillermin mystery
2008-07-19,Starship Troopers 3: Marauder,edwardneumeier,starship spacemarin melodrama maraud caspervandien joleneblalock stephenhogan edwardneumeier adventure sciencefiction action
2013-09-21,Nebraska,alexanderpayne,montana smalltown dementia age roadtrip fword pickuptruck lincolnnebraska nebraska sweepstak confrontingthepast brucedern willforte bobodenkirk alexanderpayne drama adventure
2013-05-31,The Garden of Words,makotoshinkai,comingofag seinen shoemak anim agegap miyuirino kanahanazawa fumihirano makotoshinkai animation drama romance
1979-01-21,Caligula,tintobrass,itali assassin rape sexual romanempir orgi emperor roman sadism ancientrom marriag insan syphilli punish unsimulatedsex brutal lust eroticmovi malcolmmcdowell teresaannsavoy helenmirren tintobrass drama history romance
2011-11-30,The Lady,lucbesson,policebrut seer massacr politicalassassin illmoth nobelpeacepr prostatecanc oxfordengland armygener rangoonburma junta referencetothewho militarydictatorship militarydict 1940 michelleyeoh davidthewlis jonathanraggett lucbesson drama
2014-05-09,Persecuted,daniellusko, jamesremar brucedavison deanstockwell daniellusko action drama adventure thriller
2014-10-17,Camp X-Ray,petersattler,guantanamobay femalesoldi femaleprotagonist americanabroad militarypolic unlikelyfriendship thickacc detaine kristenstewart پیمانمعادی lanegarrison petersattler drama
2006-02-24,Lucky Number Slevin,paulmcguigan,assassin assassin ident sniper mistakeinperson jew gangsterboss gamblingdebt boss murder sniperrifl fbiagent horserac gambler slevin caso hoodlum blackmen joshhartnett brucewillis lucyliu paulmcguigan drama thriller crime mystery
1956-10-05,The Ten Commandments,cecilb.demille,egypt miracl slaveri isra epic religion judaism pharaoh biblic charltonheston yulbrynner annebaxter cecilb.demille drama history
2017-05-24,Dirty Dancing,wayneblair,music remak catskil 1960 re-imagin abigailbreslin coltprattes sarahhyland wayneblair music drama romance tvmovie
1955-01-01,Night and Fog,alainresnais,germani destructionofacivil polen worldwarii prisonersofwar auschwitz nazi independentfilm nazigermani tortur crime michelbouquet reinhardheydrich heinrichhimmler alainresnais history documentary war
2003-10-24,Scary Movie 3,davidzucker,horrorspoof pamelaanderson jennymccarthy marnyeng davidzucker comedy
2016-05-20,Manhattan Night,briandecubellis,"wifehusbandrelationship blackmail investig videocamera incest death newspaperman tabloid temptat manhattan,newyorkc neo-noir affair adrienbrody yvonnestrahovski campbellscott briandecubellis drama mystery thriller"
1989-07-07,Licence to Kill,johnglen,corrupt florida secretident liberationofprison drugtraff floatplan transportofprison tankcar floridakey coastguard airplan britishsecretservic timothydalton careylowell robertdavi johnglen adventure action thriller
2013-03-07,Oz: The Great and Powerful,samraimi,circu witch magic hope illus lost magictrick wizard 3d jamesfranco milakunis rachelweisz samraimi fantasy adventure family
2004-02-13,50 First Dates,petersegal,dejavu amnesia hawaii ladykil romanticcomedi adamsandler drewbarrymore robschneider petersegal comedy romance
2008-02-14,The Spiderwick Chronicles,markwaters,brothersisterrelationship familyrelationship singlemoth alternater motherchildrelationship hiddentruth goblin magicalcreatur fairi freddiehighmore mary-louiseparker nicknolte markwaters adventure family fantasy
2014-01-24,The Monuments Men,georgeclooney,worldwarii nazi arttheft postworldwarii mattdamon cateblanchett georgeclooney georgeclooney war drama history action
1997-11-14,The Jackal,michaelcaton-jones,fbi coldwar hitman brucewillis richardgere sidneypoitier michaelcaton-jones action thriller adventure crime
2005-09-08,The Man,lesmayfield,mistakeinperson falseident armsdeal cop policeoffic dentist samuell.jackson eugenelevy lukegoss lesmayfield action comedy crime
2014-09-25,Marshland,albertorodríguez,kidnap suspens serialkil disappear ruralset policeinvestig buddycop 1980 raúlarévalo javiergutiérrez antoniodelatorre albertorodríguez mystery thriller
2014-09-09,My Old Lady,israelhorovitz,pari writer apart maggiesmith kevinkline kristinscottthomas israelhorovitz romance comedy drama
2015-07-03,Amy,asifkapadia,jazz drugaddict overdos biographi addict drugrehab drugaddict drugoverdos jazzsing femalesing addict eatingdisord rehab amywinehouse markronson tonybennett asifkapadia documentary music
2005-09-23,A History of Violence,davidcronenberg,robberi doublelif dualident smalltown indiana distrust fight self-defens marriag familyrelationship mistakenident diner lawyer mobster violenc attemptedrobberi viggomortensen mariabello heidihayes davidcronenberg drama thriller crime
2007-05-16,My Blueberry Nights,wongkar-wai,usa kaffeehau poker lovesick waitress bar nightlif night melancholi approach loneli norahjones judelaw natalieportman wongkar-wai drama romance
2010-10-01,Let Me In,mattreeves,vampir childvampir remak bulli youngboy bite deadboy hammerhorror 1980 kodismit-mcphee chloëgracemoretz richardjenkins mattreeves drama horror mystery
1932-05-25,Grand Hotel,edmundgoulding,hotel cardgam burglar industrialist stolenmoney baron dyingman murder tragiclov conscienc jewelthief merger publichumili revolvingdoor dachshund stenograph flirtat primaballerina bookkeep gretagarbo johnbarrymore joancrawford edmundgoulding drama romance
1958-12-05,The 7th Voyage of Sinbad,nathanh.juran,island magic lamp sinbad escap kerwinmathews kathryngrant torinthatcher nathanh.juran action adventure family fantasy
2002-01-29,Asterix & Obelix: Mission Cleopatra,alainchabat,egypt magic palac civilengin cleopatra galier ancientworld gérarddepardieu christianclavier monicabellucci alainchabat family fantasy comedy adventure
1994-03-25,D2: The Mighty Ducks,samweisman,competit adversari sport icehockey hockeyplay hockeycoach youth emilioestevez kathrynerbe michaeltucker samweisman action comedy drama family
1972-06-01,The Way of the Dragon,brucelee,rome kungfu restaur chinesemafia hongkong gangster hoodlum brucelee noramiao chucknorris brucelee action crime
2013-11-01,Krrish 3,rakeshroshan,secretident superhero madscientist hindi bollywood lethalviru pregnantwoman hrithikroshan priyankachopra rajpalyadav rakeshroshan action sciencefiction
1993-03-19,Point of No Return,johnbadham,assassin deathpenalti doomedman lethalinject bridgetfonda gabrielbyrne dermotmulroney johnbadham crime drama thriller
2012-04-04,The Cold Light of Day,mabroukelmechri,kidnap spi govern henrycavill verónicaechegui sigourneyweaver mabroukelmechri action thriller
2001-04-20,The Devil's Backbone,guillermodeltoro,bomb sex fight nuditi war supernatur orphanag reveng murder bulli fear explos spanish eduardonoriega federicoluppi marisaparedes guillermodeltoro fantasy drama horror thriller sciencefiction
2013-07-03,Kevin Hart: Let Me Explain,lesliesmall,"stand-upcomedi manhattan,newyorkc madisonsquaregarden duringcreditssting kevinhart davidterrell davidjasonperez lesliesmall comedy documentary"
1960-10-06,Spartacus,stanleykubrick,gladiat romanempir gladiatorfight slaveri insurg ancientrom tortur ancientworld slave escapedslav juliuscaesar kirkdouglas laurenceolivier jeansimmons stanleykubrick action drama history
1986-05-30,Big Trouble in Little China,johncarpenter,kungfu chinatown magic mysteri kurtrussell kimcattrall dennisdun johncarpenter action adventure comedy fantasy
2010-12-27,Blue Valentine,derekcianfrance,danc nurs depress classroom bridg marriag truck love dysfunctionalfamili children ryangosling michellewilliams mikevogel derekcianfrance drama romance
2010-05-21,MacGruber,jormataccone,aftercreditssting duringcreditssting willforte kristenwiig valkilmer jormataccone action adventure comedy
2007-01-05,Code Name: The Cleaner,lesmayfield, cedrictheentertainer lucyliu nicollettesheridan lesmayfield action comedy crime
1985-10-11,Remo Williams: The Adventure Begins...,guyhamilton,newident agent fredward joelgrey wilfordbrimley guyhamilton comedy action adventure
1985-08-01,Weird Science,johnhughes,nerd biker teenag morph malefantasi anthonymichaelhall kellylebrock ilanmitchell-smith johnhughes comedy romance fantasy
2008-01-04,One Missed Call,ericvalette,candi lossofsist mobilephon answeringmachin dyinganddeath victim deathofafriend sm asthma friendship polic delus remak cowardli train shannynsossamon edwardburns anaclaudiatalancón ericvalette horror mystery thriller
2003-08-27,Anything Else,woodyallen,psychoanalysi comedian relationshipproblem advic experi woodyallen jasonbiggs christinaricci woodyallen comedy romance
2011-11-17,Café de Flore,jean-marcvallée,downsyndrom montreal divorc coupl nonlineartimelin divorcedman divorcedfath multiplestorylin divorcedpar divorcedmoth vanessaparadis hélèneflorent evelynebrochu jean-marcvallée drama romance
2007-01-11,Pathfinder,marcusnispel,vike nativeamerican tortur karlurban moonbloodgood russellmeans marcusnispel adventure
2005-07-14,Wedding Crashers,daviddobkin,sail wed fakeident lie owenwilson vincevaughn christopherwalken daviddobkin comedy romance
2006-03-03,Ultraviolet,kurtwimmer,skyscrap vampir victim dystopia boy doctor violenc onewomanarmi hemophagia stamina totalitarian antigen cure strength biologicalwarfar labtechnician rooftopfight graviti lightsensit millajovovich cameronbright nickchinlund kurtwimmer sciencefiction action thriller
2011-01-28,From Prada to Nada,angelgracia,tattoo cook bankrupt sacrific latina janitor student mariachi lawstud portrait oldcar mustach tequila fiesta aftercreditssting camillabelle alexapenavega aprilbowlby angelgracia comedy drama romance
2013-09-06,The Last of Robin Hood,richardglatzer,biographi moviestar dakotafanning susansarandon kevinkline richardglatzer drama
1988-10-27,The Vanishing,georgesluizer,franc lossoflov kidnap roadhous vacat disappear missingperson bernard-pierredonnadieu eugenebervoets johannatersteege georgesluizer horror thriller
2005-01-14,Coach Carter,thomascarter,blackpeopl autoritianeduc sport highschool scholarship basketbal violenceinschool teacher teachersandstud samuell.jackson robbrown robertri'chard thomascarter drama
1999-10-19,Children of the Corn 666: Isaac's Return,kariskogland,suicid coma machet sequel womandirector johnfranklin natalieramsey paulpopowich kariskogland horror mystery
2007-05-22,The Diving Bell and the Butterfly,julianschnabel,write lover(female) psychologicalstress dyinganddeath editor-in-chief french independentfilm patient disabl mathieuamalric emmanuelleseigner marie-joséecroze julianschnabel drama
1998-10-30,Still Crazy,briangibson,birthday condom comeback tour rivalri rockband death stephenrea billyconnolly jimmynail briangibson comedy music
1998-09-17,Pleasantville,garyross,brothersisterrelationship tvshow dystopia bookburn satir comingofag racism blackandwhit alternater colour tobeymaguire reesewitherspoon williamh.macy garyross fantasy drama comedy
2010-11-12,Death Race 2,roelreiné,carrac bar virgin parachut dystopia bikini prequel chines silenc rapist carfir triad dystopicfutur lukegoss seanbean dannytrejo roelreiné action thriller sciencefiction
1983-03-31,The Meaning of Life,terrygilliam,senseoflif comedian sketch montypython aftercreditssting duringcreditssting themeaningoflif anarchiccomedi terrygilliam grahamchapman johncleese terrygilliam comedy
1925-09-06,The Phantom of the Opera,rupertjulian,pari opera diva phantom unrequitedlov outcast captiv silentfilm operahous secretadmir protégé balletperform lonchaney maryphilbin normankerry rupertjulian drama horror
1971-03-12,The Andromeda Strain,robertwise,nasa newmexico biologicalweapon epilepsi secretlab alienphenomenon chemistri biolog suspens nuclearthreat scienc arthurhill davidwayne jamesolson robertwise sciencefiction thriller
2003-06-09,Hollywood Homicide,ronshelton,rapmus hitman harrisonford joshhartnett lenaolin ronshelton action adventure comedy thriller
2009-01-02,Sorority Wars,jameshayman,colleg rivalri soror youngadult lucyhale courtneythorne-smith amandaschull jameshayman comedy drama family tvmovie
1987-10-21,The Last Emperor,bernardobertolucci,buddhism japan suicid china suicideattempt warcrim becominganadult isol warondrug revolut emperor arrangedmarriag manchuria dynasti reeducationcamp culturalrevolut humanexperiment war coupd'etat teacher beij decad commun johnlone petero'toole joanchen bernardobertolucci drama history
1992-06-04,Patriot Games,phillipnoyce,assassin assassin repay ira jackryan harrisonford annearcher patrickbergin phillipnoyce drama action thriller crime
1999-11-18,Sleepy Hollow,timburton,cut-offhead horseman head johnnydepp ianmcdiarmid christinaricci timburton drama fantasy thriller mystery
2014-01-17,Reasonable Doubt,peterhowitt,districtattorney samuell.jackson dominiccooper erinkarpluk peterhowitt crime thriller
2015-08-07,Cop Car,jonwatts,sheriff colorado murder suspens shootout blood drug policecar kid stolencar bodyinatrunk openend joyrid kevinbacon jamesfreedson-jackson hayswellford jonwatts thriller
2008-07-25,Brideshead Revisited,julianjarrold,england brothersisterrelationship newlov castl studi innoc loss oxford nobil matthewgoode benwhishaw hayleyatwell julianjarrold drama romance
2009-09-09,Dorian Gray,oliverparker, benbarnes colinfirth rebeccahall oliverparker fantasy drama thriller
1989-11-03,Stepfather II: Make Room For Daddy,jeffburr,stepfath sequel murder psychopathickil independentfilm serialkil wed maniac violenc dentist mothersonrelationship psychokil psycho flashback mailcarri terryo'quinn megfoster carolinewilliams jeffburr horror thriller
2002-12-13,About Schmidt,alexanderpayne,wifehusbandrelationship channelsurf mullet spiritualjourney lifechang pioneervillag familygath jacknicholson kathybates hopedavis alexanderpayne drama comedy
1995-10-06,Assassins,richarddonner,competit assassin cia bank cat mexicanstandoff seattl hitman missionofmurd hiddencamera rivalri rescu shootout policechas sniperrifl silenc doublecross caribbean detroitmichigan sylvesterstallone antoniobanderas juliannemoore richarddonner action adventure crime thriller
1952-04-10,Singin' in the Rain,stanleydonen,fan morn music talki partner movieinmovi broadway audienc chorusgirl dictioncoach pearlnecklac flapper genekelly donaldo'connor debbiereynolds stanleydonen comedy music romance
1960-02-05,La Dolce Vita,federicofellini,femalenud sea lovesick sunris ironi newspap photograph bar lossoflov desper sad nightlif dyinganddeath unsoci cowardli ghost marcellomastroianni anitaekberg anoukaimée federicofellini comedy drama
2006-10-17,Behind Enemy Lines II: Axis of Evil,jamesdodson,nuclearmissil soldier northkorea mattbushell denisarndt bencross jamesdodson action adventure thriller
2009-10-07,Zombieland,rubenfleischer,washingtond.c. sistersisterrelationship post-apocalypt roadtrip bloodsplatt parodi surviv zombi violenc survivalhorror amusementpark twinki bodycount zombif disposingofadeadbodi bittenonthearm loner aftercreditssting zombieapocalyps fearofclown jesseeisenberg woodyharrelson emmastone rubenfleischer comedy horror
1987-06-02,The Untouchables,briandepalma,whitesuit alcapon toughcop treasuryag untouch taxevas jurytamp ruleoflaw rooftopchas cuttingfacewhileshav 1930 kevincostner seanconnery charlesmartinsmith briandepalma crime drama history thriller
2013-08-16,The Butler,leedaniels,whitehous butler biographi civilright forestwhitaker davidbanner michaelraineyjr. leedaniels drama
1986-08-02,Castle in the Sky,hayaomiyazaki,fli mine magic castl lostcivilis armi pirat girl governmentag float pendant blueski airpir crystal anim keikoyokozawa mayumitanaka minoriterada hayaomiyazaki adventure fantasy animation action family romance
1958-05-10,Mon oncle,jacquestati,pari fathersonrelationship cityportrait factorywork parentchildrelationship factori newbuild brother-in-law modern carcrash suburb dog housekeep jacquestati jean-pierrezola adrienneservantie jacquestati comedy
2009-05-21,The White Ribbon,michaelhaneke,germani childabus pastor propaganda children punish smallvillag villagepeopl eastelbia umerziehung ursinalardi ulrichtukur burghartklaußner michaelhaneke crime drama mystery
1972-03-20,Solaris,andreitarkovsky,1970 lossofsenseofr extraterrestrialtechnolog subconsci russian hallucin spacetravel astronaut soviet donatasbanionis natalyabondarchuk jürijärvet andreitarkovsky drama sciencefiction adventure mystery
2006-12-11,The Good Shepherd,robertdeniro,londonengland berlin usa spi cia cuba wifehusbandrelationship mentor return coldwar kongo leavingone'sfamili kgb childhoodmemori wife invas bayofpig famili child mattdamon angelinajolie alecbaldwin robertdeniro drama thriller history
2006-05-20,Red Road,andreaarnold,rape glasgow lossoffamili securitycamera reveng independentfilm securityguard womandirector katedickie tonycurran martincompston andreaarnold drama thriller
1998-07-24,Disturbing Behavior,davidnutter,suicid sex island nightmar chase polic insan highschool control mindcontrol murder teacher student brainwash teenag rage behavior jamesmarsden katieholmes nickstahl davidnutter mystery horror sciencefiction
1996-11-15,Space Jam,joepytka,sport basketbal doctor basketballteam basketballgam refere basketballcourt tweetybird speedygonzal cartoonchicken sylvesterthecat cartoonrealitycrossov basketballhoop cartoonskunk michaeljordan wayneknight billywest joepytka animation comedy drama family fantasy
2011-07-28,Assassination Games,erniebarbarash,fight antihero karat drugcartel pistol extremeviol sharpshoot knifethrow silenc knifefight gistfight kickbox jean-claudevandamme scottadkins kevinchapman erniebarbarash drama action crime
2011-01-24,Perfect Sense,davidmackenzie,one-nightstand insomnia memori scientist epidem chef anarchi ewanmcgregor evagreen ewenbremner davidmackenzie drama sciencefiction romance
1951-06-29,Ace in the Hole,billywilder,sheriff journal newmexico satir rescu report trap desert mediahyp newspaperman filmnoir filmgri kirkdouglas jansterling robertarthur billywilder drama
2001-08-02,The Others,alejandroamenábar,nanni hauntedhous channelisland parallelworld photosensit spirit nicolekidman christophereccleston alakinamann alejandroamenábar horror drama mystery thriller
2013-07-18,RED 2,deanparisot,pari londonengland cia russia mi6 hiredkil explodingairplan brucewillis catherinezeta-jones anthonyhopkins deanparisot action comedy crime thriller
2007-02-09,The Baker,garethlewis,hitman blackhumor bakeri ruralset damianlewis kateashfield nikolajcoster-waldau garethlewis comedy crime
2009-07-28,Green Lantern: First Flight,laurenmontgomery,dccomic superhero superpow womandirector christophermeloni victorgarber michaelmadsen laurenmontgomery action animation sciencefiction
2003-01-30,Whale Rider,nikicaro,ocean lossofmoth tradit lossofbroth becominganadult roleofwomen empower newzealand maoritradit chief grandfathergranddaughterrelationship modernsocieti whale patriarch stickfight cano patriarchi lossofwif womandirector keishacastle-hughes rawiriparatene vickyhaughton nikicaro drama family
2008-02-10,Jumper,dougliman,adolesc basedonnovel lossofchild fight chase teleport supernaturalpow leapintim enemi motherlylov haydenchristensen jamiebell samuell.jackson dougliman adventure fantasy sciencefiction
1997-01-24,Fierce Creatures,fredschepisi,zoo market costum darkcomedi busi anim johncleese jamieleecurtis kevinkline fredschepisi comedy romance
2012-11-02,A Late Quartet,yaronzilberman,classicalmus quartet philipseymourhoffman markivanir catherinekeener yaronzilberman music drama
2012-09-28,Pitch Perfect,jasonmoore,competit roommat colleg femalefriendship music haze malefemalerelationship audit groupoffriend dormroom bicker dj singingcompetit filmscor femalemusician singingcontest youngadult acapella annakendrick skylarastin brittanysnow jasonmoore comedy music romance
1992-08-07,3 Ninjas,jonturteltaub,hero rivalri rescu goodvsevil crime youth danger famili escapad savetheday younghero siblingsrel teachersandstud teachingthewaysoftheworld eccentricfamili vigilant heroicmiss powerrel lax victorwong michaeltreanor maxelliottslade jonturteltaub action adventure comedy family
2011-06-06,The Decoy Bride,shereefolkson,island paparazzi decoy wed hide bestsellingauthor womandirector actress factcheck aliceeve davidtennant kellymacdonald shereefolkson drama comedy romance
2014-04-11,Calvary,johnmichaelmcdonagh,murder priest ireland recoveringalcohol catholicchurch confession deaththreat brendangleeson chriso'dowd kellyreilly johnmichaelmcdonagh drama
2017-04-14,Altitude,alexmerkin,suspens dolphlundgren deniserichards greergrammer alexmerkin action thriller
2010-08-03,A Turtle's Tale: Sammy's Adventures,benstassen,globalwarm seaturtl 3d yurilowenthal gemmaarterton isabellefuhrman benstassen animation family
1991-07-31,Hot Shots!,jimabrahams,secretmiss badluck saddamhussein drillinstructor jetcrash charliesheen caryelwes valeriagolino jimabrahams action comedy war
2012-12-20,Chinese Zodiac,jackiechan,3d jackiechan yaoxing-tong kwonsang-woo jackiechan action adventure
1955-12-22,Sissi,ernstmarischka,loveatfirstsight sistersisterrelationship wifehusbandrelationship marriagepropos attachmenttonatur loveofone'slif anonym bavaria emperor mistakeinperson loveofanim ball horsebackrid telegram badmother-in-law chase schlossschönbrunn wed austria-hungari vienna romyschneider karlheinzböhm magdaschneider ernstmarischka comedy drama romance
2006-01-07,Origin: Spirits of the Past,keiichisugiyama,dystopia ryokatsuji aoimiyazaki yûkokotegawa keiichisugiyama sciencefiction adventure animation drama fantasy romance action
2010-09-11,Conviction,tonygoldwyn,prison brothersisterrelationship lawschool hilaryswank samrockwell minniedriver tonygoldwyn drama
2014-10-15,Samba,erictoledano, omarsy charlottegainsbourg taharrahim erictoledano drama comedy
1998-11-13,I Still Know What You Did Last Summer,dannycannon,competit island radio bahama colleg knife fisherman vacat reveng murder marijuana resort blood slasher storm hook killer jenniferlovehewitt freddieprinzejr. mekhiphifer dannycannon horror mystery thriller
2010-01-20,Gainsbourg: A Heroic Life,joannsfar,fathersonrelationship beach compos jazz seduct popstar music song biographi singer jewish profil alcoholabus songwrit ericelmosnino lucygordon laetitiacasta joannsfar drama
1992-07-30,Death Becomes Her,robertzemeckis,jealousi beauti immort rivalri potion drink merylstreep brucewillis goldiehawn robertzemeckis fantasy comedy
2008-07-01,Hancock,peterberg,fli alcohol loveofone'slif forbiddenlov lover affect advertisingexpert alcohol invulner superhero poki duringcreditssting willsmith charlizetheron jasonbateman peterberg fantasy action
2009-06-08,A Perfect Getaway,davidtwohy,hawaii honeymoon doublemurd murder millajovovich timothyolyphant stevezahn davidtwohy thriller mystery adventure
2016-06-18,The Secret Life of Pets,chrisrenaud,"pet bunni anthropomorph dog anim apartmentbuild sewer terrier manhattan,newyorkc rodent mongrel louisc.k. ericstonestreet kevinhart chrisrenaud animation family"
2013-02-08,Spiders,tibortakács,monster subway spider alien towninpan subwaytunnel giant mutantspid aliendna patrickmuldoon christacampbell shellyvarod tibortakács sciencefiction thriller
2015-04-30,Barely Lethal,kylenewman,assassin highschool haileesteinfeld sophieturner jessicaalba kylenewman adventure action comedy
1997-09-09,Full Tilt Boogie,sarahkelly,filmdirector costum stuntman swimmingpool filmmak hottub specialeffect hollywood writer birthdaycak filmmak produc makingof rainstorm filmcrew moviestar set locat documentarycrew cast effect filmunion horrorfilmmak filmindustri prop womandirector georgeclooney harveykeitel michaelparks sarahkelly documentary
2003-04-11,House of 1000 Corpses,robzombie,upperclass halloween psychopath urbanlegend youth satanicritu sidhaig billmoseley sherimoonzombie robzombie horror
2011-04-08,Soul Surfer,seanmcnamara,competit basedonnovel sharkattack surf biographi sport duringcreditssting annasophiarobb helenhunt lorrainenicholson seanmcnamara family action drama
2015-09-03,The Transporter Refueled,camilledelamarre,transport sequel suspens car bankheist action edskrein raystevenson loanchabanol camilledelamarre thriller action crime
2014-10-10,Addicted,billewoodruff,infidel obsess lie sin interracialrelationship cheatingwif lust attract deceit temptat hipersexualidad faithfulhusband boriskodjoe brandongonzales cameronmills billewoodruff drama thriller
2012-08-31,"Tad, the Lost Explorer",enriquegato,helicopt treasur pyramid museum parrot hotairballoon peru jungl train dog explor dessert constructionwork fionaglascott lewismacleod kerryshale enriquegato animation comedy adventure family
2009-02-01,Ghost Machine,chrishartwill,comput suspens heroism blood bloodbath extremeviol seanfaris rachaeltaylor lukeford chrishartwill action horror sciencefiction thriller
1995-10-27,Three Wishes,marthacoolidge,basebal drifter dog koreanwar womandirector patrickswayze maryelizabethmastrantonio josephmazzello marthacoolidge drama fantasy
2012-08-31,Fire with Fire,davidbarrett,firemen witnessprotect murder u.s.marsh brucewillis joshduhamel rosariodawson davidbarrett action crime drama thriller
2009-11-09,Dug's Special Mission,ronniedelcarmen,dog short pixaranim bobpeterson delroylindo jeromeranft ronniedelcarmen animation comedy family
2010-10-15,Jackass 3D,jefftremaine,pain stunt stuntman stupid comedi duringcreditssting 3d johnnyknoxville bammargera ryandunn jefftremaine comedy documentary action
1972-12-29,Aguirre: The Wrath of God,wernerherzog,gold sentenc adventur goldrush peru amazon float insan southamerica 16thcenturi conquest newgermancinema indigenouspeopl conquistador klauskinski helenarojo delnegro wernerherzog adventure drama history
2011-10-19,Paranormal Activity 3,henryjoost,witch sistersisterrelationship sequel prequel haunt foundfootag katiefeatherston spraguegrayden laurenbittner henryjoost horror
2012-09-07,Hello I Must Be Going,toddlouiso,independentfilm melanielynskey blythedanner johnrubinstein toddlouiso drama comedy romance
2009-09-03,Taking Woodstock,anglee,musicfestiv independentfilm catskil dogtag demetrimartin imeldastaunton henrygoodman anglee music comedy drama
2002-03-25,The Rookie,johnleehancock,fathersonrelationship basebal sportsteam sport life'sdream growingup dennisquaid rachelgriffiths bethgrant johnleehancock drama family
2014-01-02,The Zero Theorem,terrygilliam,virtualr dystopia comput christophwaltz davidthewlis mélaniethierry terrygilliam drama fantasy sciencefiction
1997-09-19,L.A. Confidential,curtishanson,corrupt detect shotgun morgu fword domesticviol corps crime districtattorney bandag moviestar manwithglass knifeinthigh goodcopbadcop switchblad callgirl 1950 falsifi kevinspacey guypearce dannydevito curtishanson crime drama mystery thriller
2017-01-19,I Don't Feel at Home in This World Anymore,maconblair,snake kidnap vomit polic vigilant thief darkcomedi gore violenc dog laptop dark rowboat degener throwingstar offbeat burglar melanielynskey elijahwood davidyow maconblair comedy crime drama thriller
1976-12-24,The Eagle Has Landed,johnsturges,england worldwarii nazi adolfhitl winstonchurchil benitomussolini nazigermani michaelcaine donaldsutherland robertduvall johnsturges adventure drama action thriller war
1995-12-29,Restoration,michaelhoffman,jealousi medicin fountain court wealth spaniel glove robertdowneyjr. megryan samneill michaelhoffman drama romance
2013-03-20,Olympus Has Fallen,antoinefuqua,whitehous secretservic terroristattack gerardbutler aaroneckhart angelabassett antoinefuqua action thriller
1992-10-01,Tom and Jerry: The Movie,philroman, richardkind danahill anndimcafee philroman animation family
1997-04-03,The Saint,phillipnoyce,berlin russia ga masterthief thesaint valkilmer elisabethshue radeserbedzija phillipnoyce thriller action romance sciencefiction adventure
2008-03-16,The Cutting Edge 3: Chasing the Dream,stuartgillard,sport sequel figuresk icesk sportcompetit mattlanter sarahgadon benjaminhollingsworth stuartgillard comedy drama romance
1969-10-04,The Undefeated,andrewv.mclaglen,revolut mexicanrevolut bandit cavalri confeder bürgerkrieg johnwayne rockhudson antonioaguilar andrewv.mclaglen western
2012-11-02,Flight,robertzemeckis,confess airplan fword hangov airplanecrash syring denial pornactress jesusfreak baseballstadium perjuri nationaltransportationsafetyboard flyingupsidedown narcissist relaps substanceabus denzelwashington doncheadle brucegreenwood robertzemeckis drama
1980-09-10,The Gods Must Be Crazy,jamieuys,africa airplan botswana god tribe mockumentari desert kalahari bushman aeroplan tribal n!xau michaelthys mariusweyers jamieuys action comedy
2005-01-29,Lilo & Stitch 2: Stitch has a Glitch,michaellabash, tiacarrere mattcorboy dakotafanning michaellabash animation comedy family
1990-06-22,RoboCop 2,irvinkershner,cyborg polic sequel cyberpunk robot drug policeoffic robocop peterweller nancyallen tomnoonan irvinkershner action adventure crime sciencefiction thriller
2014-10-24,The Road Within,grenwells,fathersonrelationship roadtrip tourettesyndrom womandirector cremat robertsheehan robertpatrick zoëkravitz grenwells comedy drama
1955-10-27,Rebel Without a Cause,nicholasray,individu rebel streetgang carrac parentchildrelationship undergroundworld author unsoci teenrebel jamesdean nataliewood salmineo nicholasray drama
2005-09-09,The Exorcism of Emily Rose,scottderrickson,epilepsi possess teenagegirl spirit umbrella cross prosecutor catholic negligenthomicid archdioces agnost malnutrit burn psychoticepilepticdisord lauralinney tomwilkinson campbellscott scottderrickson crime drama horror thriller
2014-10-17,Rudderless,williamh.macy,fathersonrelationship rockband grievingfath billycrudup antonyelchin felicityhuffman williamh.macy music drama comedy
2014-02-19,Haunt,maccarter, jackiweaver lianaliberato danielleryanchuchran maccarter horror
2010-09-12,Dirty Girl,abesylvia,virgin highschool friend teacher teenag reput junotemple jeremydozier millajovovich abesylvia drama comedy
1999-08-06,The Thomas Crown Affair,johnmctiernan,martiniqu claudemonet famouspaint glider insuranceag missingpaint stolenpaint valuablepaint richpeopl piercebrosnan renerusso denisleary johnmctiernan drama crime romance
2011-07-29,Cowboys & Aliens,jonfavreau,robberi sheriff arizona laser outlaw ufo spaceship alien nativeamerican escap gunfight danielcraig oliviawilde harrisonford jonfavreau action sciencefiction thriller western
2002-04-26,About a Boy,chrisweitz,londonengland rockandrol singlepar rapmus bachelor becominganadult friendship singl hughgrant nicholashoult tonicollette chrisweitz drama comedy romance
